Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Purification Scientist,$92K-$148K (Glassdoor est.),"New England Biolabs (NEB) is seeking highly motivated and detail-oriented individual for a downstream protein manufacturing role as a Purification Scientist in a laboratory equipped with cutting edge technologies. The successful candidate will execute downstream processes and perform in-process analytics. This role requires working in a fast-paced and collaborative environment to provide the highest quality products to the scientific community.

Primary Responsibilities:
Program, operate, and troubleshoot purification equipment at small/pilot scale using the GE AKTA platform including AKTA PURE, Pilot, Process, as well as Tangential Flow Filtration and Inline Buffer Dilution Skids
Represent commercial manufacturing needs in close working interaction with internal process development and management
Perform and analyze numerous in process enzymatic and DNA assays required during the purification process to develop pooling protocols
Apply creative problem solving to downstream processes to perform tasks more efficiently and effectively
Maintain accurate records. Effectively organize, interpret and present data to colleagues, cross functional teams and senior leadership
Advocate for new biopharma and information technologies to help advance downstream manufacturing
Required Qualifications and Experience:
Bachelor’s or advanced degree in Biology, Biochemistry, or a related field
Minimum 3 years of industry experience
Extensive knowledge of chromatography techniques including IEX, affinity, HIC, SEC and MMC
Hands on experience with downstream processing equipment and protocols including sanitization, general operation, troubleshooting, and associated manufacturing tasks
Experience operating protein purification equipment and knowledge of Unicorn software
Familiarity with techniques such as SDS PAGE, restriction digestion, capillary electrophoresis-based RNA, DNA and protein assays
Demonstrate precise bench skills to produce consistent and dependable data
Exceptional attention to detail and passion for problem solving with a developed sense of ownership and responsibility
Working knowledge of microbial fermentation and upstream processing a plus
New England Biolabs, Inc. is an Equal Opportunity/Affirmative Action Employer of Minorities, Females, Disabled and Protected Veterans and a participating employer in the Employment Verification (E-Verify) program. More in-depth details of EEO are available here.

If you need an accommodation for any part of the employment process because of a medical condition or disability, please send an email to hr@neb.com or call 978-927-5054 to let us know the nature of your request.",4.9,"New England Biolabs
4.9","Ipswich, MA","Ipswich, MA",201 to 500 employees,1974,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,"Thermo Fisher Scientific, Enzymatics, Illumina"
Data Scientist,$92K-$148K (Glassdoor est.),"Cohere Health is simplifying healthcare for patients, their doctors, and all those who are important in a patient's healthcare experience. Our focus is to enable an efficient, transparent patient journey where patient goals are central to decision-making.

We are a mission-driven and fast-growing company obsessed with eliminating the wasteful friction patients and doctors experience, particularly for diagnoses that require expensive procedures or medications. To that end, we build products and services that ensure the appropriate plan of care is understood and expeditiously approved, so that patients and doctors can focus on health, rather than payment or administrative hassles.

This is a great opportunity for an outstanding data science professional to go in-house at a Series A healthcare technology company and learn what it takes to show the value of our products and services. You will work closely with analytics leadership, product and IT to support decision-making, and will dig into a wide range of strategic, product, and operational problems. The work will be fast-paced and project-based, with evolving needs - requiring scrappiness, flexibility, curiosity, and grace under pressure. Your work will enable Cohere to make the right investments in a critical stage for our company.

This role offers the potential to grow at Cohere in data science, or potentially move to other functions as well. You will contribute to healthcare analytics from the economic and quality perspective, help build an a company, as well as wear many hats. Our team values empowerment and is committed to developing our talent.

What you will do:
Collaborate cross-functionally to design appropriate data-use capabilities across a wide breadth of analytical needs
Use your expertise in healthcare data to develop effective models to improve our product
Partner with Engineering to deliver seamless modeling for product implementation
What you will have:


5-7 years model building and analytical experience at company where using ML/ AI were critical to the mission, preferably a healthcare company or allied health organization
Direct experience partnering with Engineering to deliver the right analytical models to Product
Clear understanding of model building, model maintenance and the measures that optimize models for product use
Excellent communication and collaboration skills
Proficient in R, SQL,Python and other common analytic/ data tools
Strong knowledge of EMR data, SDoH, Claims, NLP use and other important healthcare related data sources
Proficient in current modeling approaches in machine learning and AI such as decision trees and Med2Vec, Patient2vec and other innovative approaches to analyzing data
Master's degree in STEM, public health, finance, economics, or other related field
We can't wait to learn more about you and meet you at Cohere Health!",5.0,"Cohere Health
5.0","Boston, MA","Boston, MA",1 to 50 employees,2019,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1
People Data Analyst,$92K-$148K (Glassdoor est.),"The Opportunity


Reporting into the Director of People Analytics, the People Data Analyst position is a part of the Workhuman IQ team, a team comprised of talented data scientists, phD’s, and people analytic experts. Working cross-functionally with Product, Marketing, and Sales groups, the People Data Analyst conducts research and analysis that helps to uncover insights related to customer usage of the Workhuman Cloud suite of products through business outcomes, and HR industry trends. This critical role contributes research for clients, providing custom analysis of social recognition and continuous performance development program effectiveness relative to business outcomes, as well as broader original research that uncovers how organizations can make their workplaces more human.

Responsibilities, Skills & Qualifications


Main duties and responsibilities:
Contribute to continuing development of thought leadership in employee social recognition, continuous performance development, and the employee experience as part of the Workhuman IQ team
Partner with the Strategy and Consulting team and other internal cross-functional teams, as well as external clients and partners to gather research questions, analyze people data, and provide results, data trends and reports
Prepare, manage, analyze, and visualize data from a range of internal databases and external datasets, including data from HRIS and various survey instruments
Contribute to company, product, services positioning, and key messages relevant to our existing customers and to defining industry advancements and innovations
Assist in the development of advanced people analytics and reporting provided to clients and third-party partners
Contribute to ad-hoc analysis projects in the capacity of subject matter expert as needed
Required skills and experience:
Proactive and creative approach to problem solving, developing innovative solutions or new approaches in a very fast-moving environment
Ability to connect with external stakeholders and customers by influencing mindsets and inspiring through data
Highly collaborative, team player with positive attitude
Demonstrated ability to effectively manage multiple projects and deadlines in support of various business units and client priorities
3+ years of experience in a people analytical role, preferably within the HR industry
Bachelor’s degree in a quantitative, scientific or related field (e.g., business, psychology, computer science, mathematics) preferred
Experience working with and managing large datasets, from both quality and linkage perspectives
Expert knowledge of business software and spreadsheet applications (i.e., Word, Excel, PowerPoint)
Intermediate knowledge of basic statistical analyses (including linear and logistic regression, cross-tabulations, and ANOVAs)
Previous experience with statistical software (SPSS, SAS, R) or database languages (SQL)
Strong interest and understanding of people (HR) data and systems
Familiarity with advanced statistical techniques (clustering, decision trees, etc.) are a plus
Effective written and oral communication skills


The Company


Who We Are:

Culture creators. Visionaries. Innovators. Game changers and changemakers. A Unicorn or two … That’s who we are at Workhuman®. We love what we do because we’re shaping the future of work – and the world – through our people and global technology. We’re building cultures of gratitude and human connections for leading global brands – and that starts with our own. Here you can be yourself, learn, and grow with some of the best people you’ll ever meet. Be inspired to do your best work, celebrate life’s most meaningful moments, and truly experience the benefits of an award-winning workplace and caring culture rooted in respect and gratitude. This is the place where you can make a positive difference to colleagues, customers, and the world every day. You might just be the next human we’re looking for – because all the things that make you human and unique are the very reasons you belong here!

The Company:

Workhuman® is the world’s fastest-growing integrated Social Recognition® and continuous performance management platform. Our human applications are shaping the future of work by helping organizations connect culture to shared purpose. With a consistent stream of gratitude fueling unparalleled, provocative workplace data and human insights, Workhuman® Cloud is a critical software engine for global companies seeking to motivate and empower their people to do the best work of their lives. Workhuman® (formerly known as Globoforce) was founded in 1999 and is co-headquartered in Framingham, Mass., and Dublin, Ireland.",4.2,"Workhuman
4.2","Framingham, MA","Framingham, MA",201 to 500 employees,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),-1
Principal Data Scientist,$92K-$148K (Glassdoor est.),"Start your future with a new mission: Northrop Grumman Space Systems (NGSP). As a part of the NGSP Team, you will work with experts that develop systems and solutions to keep our world safe. Together we protect our troops, public safety, information, and our planet. Its unique work. Its challenging and rewarding. Most of all, its the work that makes a difference. Our culture thrives on intellectual curiosity, cognitive diversity and bringing your whole self to work, and we have an insatiable drive to do what others think is impossible. Our employees are not only part of history, theyre making history. Join us and launch your career. Northrop Grumman Space Systems is seeking a Principal Data Scientist This position will be located at Hill AFB, UT and will support the Ground Subsystems Support Contract (GSSC) program. The successful applicant will: - Develop and implement artificial intelligence and machine learning models to solve complex data problems - Interpret large amounts of data using advanced visualization techniques and tools - Merge and transform big datasets to ensure data integrity and usability - Develop a process to maintain quality and performance of statistical models and quickly identify enhancements opportunities - Communicate advanced concepts and information in an understandable manner for audiences of varying levels of competency - Maintain an up-to-date knowledge of technology trends - Properly document code, artifact description, implementation, and use case. - Be an eager and fast learner - Work on a fast pasted collaborative team in an agile environment As a full-time employee of Northrop Grumman Space Systems, you are eligible for our robust benefits package including: - Medical, Dental & Vision coverage - 401k - Educational Assistance - Life Insurance - Employee Assistance Programs & Work/Life Solutions - Paid Time Off - Health & Wellness Resources - EmployeBasic Qualifications: - Minimum of a Bachelor of Science in Data Science, Computer Science, Physics, Statistics, Mathematics, or related quantitative field - Minimum 5 years of relevant experience with a bachelors degree; or 3 years with a Masters; or 0 years with PhD - Demonstrated experience with Programming in Python, R, or Node.js - Demonstrated experience manipulating dataframes through SQL, pandas, or tidyverse - U.S. Citizenship and the ability to obtain a Secret Security Clearance Preferred Qualifications: - Active Secret Security Clearance or higher - Familiarity with any of the following: Tensorflow, Theano, Keras, PyTorch, NLTK, PyStan, PyMC3, Rstan, ElasticSearch, PyCuda - Familiarity with Graph, NoSQL, Hadoop, SMACK, or Neo4J/OWL Northrop Grumman is committed to hiring and retaining a diverse workforce. We are proud to be an Equal Opportunity/Affirmative Action Employer, making decisions without regard to race, color, religion, creed, sex, sexual orientation, gender identity, marital status, national origin, age, veteran status, disability, or any other protected class. For our complete EEO/AA and Pay Transparency statement, please visit www.northropgrumman.com/EEO. U.S. Citizenship is required for most positions.",3.7,"Northrop Grumman
3.7","Hill AFB, UT","Falls Church, VA",10000+ employees,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1
Data Scientist (TS/SCI),$92K-$148K (Glassdoor est.),"Are you an intelligence analyst looking to further your technical capabilities? Are you curious about this whole Machine Learning / Artificial Intelligence trend?

At Maxar, we have a variety of projects focused on hard problems to solve requiring cleared Data Scientists with expertise in AI/ML, however, we dont have enough people to do this work! Were looking for cleared, technically-minded people who are passionate about delivering new and innovative solutions for our customers.

Maxar is seeking a Data Scientist to join our team in the Herndon, VA office.

Do you have a head for numbers? Like turning real-world problems into mathematical representations and checking to see if you did it right? If you like that, youll love developing algorithms with us! Our customers have some of the most interesting needs and hardest challenges to resolve. Our solutions require integrated models based on large and varied datasets, feeding analytic applications so that we can extract patterns and behaviors obscured within the data to augment the capabilities of human operators. We need data scientists to work on all stages of the data science pipeline, to include applying existing machine learning software across large hyper-parameter trade spaces, developing new machine learning algorithms, and evaluating the best the commercial AI/ML industry has to offer to our problem set.

Why Maxar?
We build advanced algorithms to gain analytic insights from a large range of open source and government data
We enable machine learning systems, automate workflow, and design and develop custom applications for unique national-security mission
We operate an end-to-end predictive analytics platform unlike any other within the US Government
We provide training to expand your skills and challenges to develop them
Our clients missions are vital to national security, so were mission-first always
Our work environment is relaxed business casual
At our core, we believe and practice social responsibility

What would you be doing?
Extracting and transforming data using programming languages such as Java and Python and associated open source data analytics libraries
Ascertaining unique ways to apply algorithms to derive specific customer data analytic results
Applying big data analytics tools to large, diverse sets of collected data to assess the risk of adverse threat activities
Extending existing algorithms as required to support customer requirements
Applying data science methods to create and optimize convolutional neural networks that will perform classification, localization, and segmentation of various modalities of remotely-sensed imagery

Minimum Requirements:
Must have a current/active TS/SCI and be willing and able to obtain a CI Polygraph
Requires 4-8 years of relevant experience.
Requires a Bachelor's degree in Statistics, Mathematics, Data Science, or related field. May substitute a Masters degree for two years experience
Familiarity with Python with interest in becoming an expert
Experience in at least one of these languages: Python, R, VBA, Java, C++
Understanding of SQL

Desired Qualifications:
Graduate experience working with probabilistic and stochastic statistical analysis or computational intelligence
Experience conducting model feasibility research and algorithm development for machine learning
Experience with distributed datasets and experience analyzing both relational and NoSQL data structures
Experience working in an Agile environment, especially SAFe
Ascertaining unique ways to apply algorithms to derive specific customer-specific data analytics results
Applying big data analytics tools to large, diverse sets of collected data to assess the risk of adverse threat activities
Extending existing algorithms as required to support customer requirements
Experience implementing algorithms related to machine learning
Knowledge of technical aspects of ISR systems
Experience conducting model feasibility research and algorithm development for machine learning
Experience developing and testing models
Extracting and transforming data using programming languages such as Java and Python andassociatedopensourcedata analytics libraries
Experience with Data Analytics
#cjpost",3.5,"Maxar Technologies
3.5","Herndon, VA","Westminster, CO",5001 to 10000 employees,-1,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),-1
Senior Principal Data Scientist (Python/R),$92K-$148K (Glassdoor est.),"Roche Diagnostics has built a new strategic area – Diagnostics Information Solutions (DIS) - charged with creating a modern portfolio of decision support software products that change the way patients are cared for. Our challenge is to bring together complex diagnostic and treatment data from medical devices and IT systems within a hospital and intelligently process and present this data to clinicians, researchers, and caregivers to improve research outcomes and patient care.

As a Senior Principal Data Scientist within the Data Science & Services (DSS) team at DIS, you are responsible for conceptualizing, planning and executing advanced analytics projects to discover key insights improving NAVIFY product portfolio leading to better and more efficient patient care. In close cooperation with other more Scientists you will design and execute advanced analytics projects building on a wide range of commercial and research datasets containing deep medical information.

As a Senior Principal Data Scientist, you will also ensure that design, execution, and presentation of analytical results are adhering to industry standards and potentially improve and redefine current industry standards. You will rely on your oncology expertise, advanced analytical skills, and your ability to interact with cross-functional experts such as biostatisticians, clinical scientists and oncologists, to discover novel insights demonstrating impact of various treatment decisions, and uncover key elements leading to best outcomes for patients. In addition, you will maintain and expand knowledge of available healthcare data sources and applicable state-of-the- art analytical methodologies, large scale data processing and visualization, and languages and tools (R, Python, (no-)SQL, Hadoop, Spark, etc.).

Responsibilities Include:
Drive data science and analytical software development teams; develop solutions to support insight generation facilitating successful development, verification and commercialization of diagnostics services and products.
Contribute to broad product support initiatives, lead and deliver on complex projects, and interact with external partners without supervision.
Maintain and expand knowledge and access to available and meaningful data sources within/outside Roche, and their application to NAVIFY customer needs.
Perform high quality, timely and accurate analyses using most relevant state-of-the-art methodologies, tools and resources.
Committed to offering innovation, finding opportunities to enhance ways of working (including processes, methods, technology etc.) and sharing new techniques and lessons learned pro-actively with peers.
Use and continue to foster strong working relationships with global colleagues and customers and builds a strong network in order to jointly explore vendor relationships, data assets, analytical methodologies and toolsets.
Build and maintain partnerships with other data scientists and analysts, biostatistics, medical and business leaders, and other key functional experts.
Responsible for planning and timely delivery of assigned projects.
Drive creation of best practices to other team members. Proactively share learnings/experience with colleagues both internal and external to the function.
Act as a positive role model for peers and help coach colleagues to improve in their role with both technical and interpersonal skills.
Influence as thought leader in your industry and an influential subject matter expert to your team members and the businesses you support.
Leverage strategic organizational awareness and systems mindset to implement sustainable, science based practices.
Who you are:
Data savvy creative thinker, problem solver and mentor.
Reliable team player, strong collaborator with ability to influence and a thought partner/leader. Organizationally savvy, systems thinker.
Excellent communication skills, effective stakeholder management ability. Life learner, constructive at giving and receiving feedback.
Strong solution finding, resiliency and a sense of ownership; Effective prioritization skills, attention to detail and accuracy; Adaptable, embraces and endorses change.
Minimum Skills and Experience:
Master’s degree (PhD strongly preferred) in a Data Science or related field (e.g. Computer Science, Statistics, Mathematics, Bioinformatics, etc.) required plus 16 years of experience; or PhD and 12 years of experience.
Graduate training or experience in biological/medical field is highly preferred.
Strong background in Oncology, either by education or professional experience.
Strong Programming experience with R, Python, and/or other quantitative software.
Strong experience in applying statistical modeling, machine learning, exploratory, and confirmatory data analysis in mid to large volume biomedical data sets.
Experience using big data platforms such as Hadoop (Spark is a plus).
In-depth knowledge of relational database principles and corresponding query language skills (e.g. SQL) is of interest.
Familiarity with regulatory framework and guidelines for pharma/diagnostics products is a plus.
Good knowledge of English in a business environment.
Excellent communication skills with an ability to negotiate successfully; strong influencing skills; self-contained and outgoing approach.
Strong solution finding, prioritization and attention to details skills while embracing/endorsing change.
Roche is an equal opportunity employer.

Research & Development, Research & Development > Modelling & Simulation",4.1,"Roche
4.1","Santa Clara, CA","Basel, Switzerland",10000+ employees,1896,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Novartis, AstraZeneca, Siemens Healthineers"
Health Data Scientist - Biomedical/Biostats,$92K-$148K (Glassdoor est.),"Evidation Health is a new kind of health and measurement company that provides the technology and guidance to understand how everyday behavior and health interact. The volumes of behavior data generated from wearables and smartphones has opened up new ways to analyze individuals' behavior and health in real time. With a virtual pool of 3 million research participants, Evidation Health undertakes research for innovative biopharma and health care companies to transform how diseases are identified, treated, and monitored.

We're looking to fill multiple positions with outstanding applied scientists and engineers who want to use analytics and signal processing to understand and harness vast amounts of multi-variate time series data from connected wearables, sensors, and other mobile data in order to infer changes in health status and disease progression over time. The ideal candidates could have disciplinary training from several disciplines (machine learning, biostatistics, signal processing) and experience building models and applications from biomedical time series data.

We value problem-solving skills and an attitude towards learning: Our work lies at the intersection of many diverse fields including machine learning, signal processing, and epidemiology. We seek great communication and accountability, people who think people first.

If you thrive on autonomy and open-ended challenges, this is the perfect opportunity to take your career to the next level.

We have offices in San Francisco, San Mateo, and Santa Barbara, and are considering candidates for all three offices, as well as remote.

RESPONSIBILITIES
Analyze continuous signals from biomedical devices to extract features predictive of health outcomes
Understand impact of missing data and imputation techniques
Communicate with a team of data scientists drawing from a very diverse set of expertise
Build re-usable tools and models to predict health-related variables from time-series continuously collected from connected devices and apps
Work with a team of data scientists with very diverse backgrounds and expertise to define tasks and performance metrics
QUALIFICATIONS


Minimum Qualifications:
PhD in biomedical engineering, electrical engineering, data science, computer science, biostatistics, or related discipline, OR
Masters in biomedical engineering, electrical engineering, data science, computer science, biostatistics, or related discipline with 2+ years of industry experience
Experience in health data science or related fields (academics OK)
Proficiency in Python, Matlab, or R
High level of motivation and willingness to learn new tools and ideas. Health Data Science is a nascent field where methods and concepts are quickly evolving
Preferred Qualifications:
Strong foundation on software engineering best practices
Experience working with biomedical time-series data
Experience with extracting features from wearable sensors
Knowledge of deep learning frameworks: Keras and TensorFlow
Understanding of statistics: significance tests, source of biases, mixed effect models, experiment design
BENEFITS
Health, dental, and vision benefits for you and competitive coverage for your family
Relocation support
Equity
Flexible work hours
Open vacation policy - take time when you need it
Support for remote work when needed
Relaxed work environment
Your choice of computing equipment and gear
Lots of opportunities for growth
Opportunity to work on fascinating challenges that improve people's lives
EVIDATION HEALTH VALUES DIVERSITY AND IS COMMITTED TO EQUAL OPPORTUNITY FOR ALL PERSONS WITHOUT REGARD TO RACE, COLOR, CREED, RELIGION, MARITAL STATUS, AGE, NATIONAL ORIGIN OR ANCESTRY, POLITICAL ACTIVITY OR AFFILIATION, PHYSICAL OR MENTAL DISABILITY, MEDICAL CONDITION INCLUDING GENETIC CHARACTERISTICS, MARITAL STATUS, SEXUAL ORIENTATION, GENDER IDENTITY, SEX OR GENDER.",4.1,"Evidation
4.1","Santa Barbara, CA","San Mateo, CA",51 to 200 employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
"Risk and Analytics IT, Data Scientist",$92K-$148K (Glassdoor est.),"OUR AGENCY

Making a Difference

SWIB is a trusted and skilled global investment organization managing the assets of the Wisconsin Retirement System (WRS) and other separately managed funds. With about $129 billion in total assets under management, SWIB has been recognized by the investment industry for its teamwork and innovation that helps make it a premier asset manager. Sophisticated investment management strategies, forward-looking technologies, and strong internal asset management make SWIB a leading investment organization.

For public employees in Wisconsin, SWIB is a unique and valuable partner. Investing for the financial security of more than 635,000 individuals and for the 1,500 Wisconsin employers who contribute on behalf of their employees SWIBs strong management of the WRS has helped fuel one of only a few fully funded public pension funds in the country. SWIBs long-term investment returns meet the challenges of a constantly evolving investment landscape while helping grow and protect the assets of the WRS, the 8th largest public pension fund in the U.S. and 25th largest public or private pension fund in the world.

We are a mission driven organization and the participants we serve are our mission. By bringing a disciplined, prudent and innovative approach to market opportunities, SWIB has been successful in generating respectable returns and maintaining the trust of the beneficiaries and stakeholders of the funds we oversee.

Join HIGHER PERFORMERS

Home to Top Talent

SWIB has long been recognized as an investment leader because of its success in maintaining the WRS and for the highly-qualified staff overseeing the retirement trust funds. SWIBs internal team invests a majority of its assets under management. This means SWIB is committed to investing in professionals that will keep the organization at the forefront of the investment industry. As an innovative organization, SWIB offers professional development opportunities that enable staff to grow and develop. Approximately 61 percent of SWIBs investment professionals are Chartered Financial Analyst (CFA) charterholders.

About the Team

Partner with, build, maintain, enhance and manage the data and technology for the Asset and Risk Allocation (ARA) division which is responsible for the overall investment structure of the Core and Variable Trust Funds. ARA recommends and implements the asset allocation for the policy portfolio, recommends and implements the active risk budget, and is responsible for overall risk monitoring and management. The Risk and Analytics IT department primarily partners with the Asset & Risk Allocation team as well as work with other internal divisions. There will be opportunities to apply skills in both technology and finance.

This role offers a unique opportunity to learn and contribute to the technology and the business through technology.

Essential activities:
Creating reporting, decisioning systems or outputs, performing rapid analysis on data issues, and instrumenting the system with data quality rules to proactively catch and prevent issues, creating enriched and enhanced datasets with advanced data manipulation and modeling skills, use of primarily Oracle, SQL Server, Snowflake, Python, delivering risk, return, cost metrics and partner with various internal departments to improve the overall state of technology and operations, architecting, developing, testing, documenting and supporting software and technical solutions for the SWIB ARA team as well as other teams, assess and revisit inventory business logic, calculations and reporting, leveraging SQL, Python and communication skills in various avenues, instrument data quality rules and metrics in the system.

Technical Skills:
Oracle SQL, SQL Server
Snowflake (or some equivalent datastore tool)
Python experience
JIRA and Confluence
Alteryx (or some equivalent ETL tool such as Informatica)
PowerBI (or some equivalent BI tool such as Tableau)
Data Skills:
SQL development
ETL (Extract Transform load) exposure
Python experience
Financial Knowledge recommended but candidates in other industries highly recommended to apply:
Understanding of multi-asset products is desirable
Comprehensions of risk, return and cost metrics in industry is desirable
Exposure to the investment management lifecycle is desirable
The ideal candidate:
5-10 years experience in data analytics, data science, or related fields
Bachelor's degree or advanced degree in finance, quantitative finance, or another related field
Ability to take various questions gathered from the business leveraging existing data as well as improving upon that data to deliver complete, consistent and precise answers
Experience in working with/understanding the various lifecycles of data management, extraction, loading, transformation to its applications in analysis, research and solving problems
Extensive knowledge in composing Oracle SQL, SQL Server queries, data modeling, and having a SQL and analytics background
Experience in identifying use cases for the business, contributing to analysis and understanding of existing data models with iterative recommendations on improvement resulting in some improvement in risk, return or cost for the organization
Extensive knowledge of data extraction, transformation and loading
Experience refactoring SQL queries, use of Python
Experience working with large structured and financial data sets
Ability to follow rigor in creating/updating documentation, maintain process (i.e. JIRA tickets) and following technology and business best practices
Ability to present and communicate well and connect business and technology
Ability to tactically understand results in context (i.e. when does something look wrong), and strategically how to resolve those issues via data quality and rule-based instrumentation
Interest in newer data technologies, Snowflake programming, i.e. Python
Interest or experience in investment management, quantitative finance and technology
Background in Agile methodologies and their applications
SWIB Offers:
Competitive McLagan-base salary
Meaningful performance-based incentive compensation
A comprehensive benefit package
Educational and training opportunities
Tuition reimbursement
Challenging work in a professional environment
The position requires U.S. work authorization and residency in, or willingness to relocate to the Madison, Wisconsin area. SWIB is prepared to offer relocation assistance as needed.",2.9,"State of Wisconsin Investment Board
2.9","Madison, WI","Madison, WI",51 to 200 employees,1951,Government,Investment Banking & Asset Management,Finance,$50 to $100 million (USD),-1
Data Analyst,$92K-$148K (Glassdoor est.),"Join our team dedicated to developing and executing innovative solutions in support of customer mission success.

Job Description:

Novetta is seeking multiple Data Analysts to support a new project in/around Springfield, VA. This position may include deployment forward up to 10% of the time into operational areas or other remote sites.

Responsibilities include:
Conform to best data management and testing practices for efficiency and performance.
Troubleshoots and corrects database problems as needed.
Build and test models to determine patterns, anomalies, and inconsistencies.
Work with the government to identify current processes, needs, and associated data sets, and implements automation of said processes through data science principles.
Work as a cross functional team member that can support other functions such as UI/UX and testing activities.
Basic Qualifications:
experience working on data base creation, implementing data dashboards at all levels
experience/certifications in Python, R, SQL, R Shiny, Excel, Github, Cypher Query Language, Jira, or other application life cycle management tools
experience documenting all work in a code base, and other Install, Operations, and Maintenance artifacts
experience adhering to Information Technology processes, polices, and procedures for entering changes and new products into the production environment
Desired Skills:
Scrum Certified
Prior experience supporting the US Special Forces community
Prior OCONUS deployments
Security Clearance:
Active TS/SCI in JPAS
Novetta, from complexity to clarity.

Novetta delivers highly scalable advanced analytics and secure technology solutions to address challenges of national and global significance. Focused on mission success, Novetta pioneers disruptive technologies in machine learning, data analytics, full-spectrum cyber, cloud engineering, open source analytics, and multi-INT fusion for Defense, Intelligence Community, and Federal Law Enforcement customers. Novetta is headquartered in McLean, VA with over 1,000 employees across the U.S.

Our culture is shaped by a commitment to our core values:

Integrity • We hold ourselves accountable to the highest standards of integrity and ethics.

Customer Success • We strive daily to exceed expectations and achieve customer mission success.

Employee Focus • We invest in our employees' professional development and training, respecting individuality and fostering a culture of diversity and inclusion.

Innovation • We know that discovering new and innovative ways to solve problems is critical to our success and makes us a great company.

Excellence in Execution • We take pride in flawless execution as we build a company that is best in class.

Earn a REFERRAL BONUS for the qualified people you know.

For more details, or to submit a referral: bit.ly/NovettaReferrals

Novetta is an equal opportunity/affirmative action employer.

All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected veteran status, age, or any other characteristic protected by law.",4.5,"Novetta
4.5","Springfield, VA","Mc Lean, VA",501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),"Leidos, CACI International, Booz Allen Hamilton"
Experienced Data Scientist,$92K-$148K (Glassdoor est.),"*******Please Apply using this link: https://app.smartsheet.com/b/form/2cb8018ed6a041b0870e3cd056c286ab
Our Focus
In aviation safety, we seek to minimize the potential for harm to the flying public. To support this
effort, we collect vast amounts of operational and simulation data. How can we use statistical
analyses and data science to analyze this data and effect meaningful change to aviation safety? If
this sounds interesting to you, GGTI seeks a Data Scientist to join its Data Science & Analytics Team.
What’s the Job?
· Preprocessing, cleansing, and verifying integrity of data that can be provided as input for
advanced analytics
· Ad-hoc analysis and presentations of results for technical and non-technical audiences
· Feature selection, model building and optimization using machine learning techniques
· Building regression, classification, association models
· Building anomaly detection systems
About You
You are an experienced Data Scientist with an advanced degree in a quantitative discipline. You will be able to discover information hidden in vast amounts of aviation data, including operation and simulated data, and provide recommendations to managements at various levels. Along with working with air traffic domain experts, you will be able to apply data mining techniques, perform statistical analyses, and build high quality predictive models and causal analyses of safety issues. You can analyze large, complex, multi-dimensional datasets with R and/or Python and Business Intelligence (BI) tools such as Tableau. In addition, you have some familiarity with SQL.
What do you need to qualify?
*
· 10+ years of professional work experience in a quantitative field
· A Ph.D. or Master’s Degree in operations research, applied statistics, Computer Science (data mining, machine learning stream) or a related quantitative discipline
· Deep understanding of statistical and predictive modeling concepts, machine-learning approaches, clustering and classification techniques, and recommendation and optimization algorithms
· Excellent applied statistics skills, such as distributions, statistical testing, regression, etc.
· Excellent understanding of common machine learning techniques and algorithms, such as K-means, k-NN, Bayesian Networks, SVM, Decision trees, ensemble methods etc.
· Experience with common data science toolkits, such as Python, R, Weka, NumPy, MatLab, etc. Proficiency in at least one of these (preferably Python)
· Experience with data visualization tools, such as D3.js, Tableau etc.
· Experience with Amazon Web Services
· Some experience with NoSQL databases, such as MongoDB, Cassandra, or HBase
· Ability to pass a Federal Government background investigation to obtain a Public Trust clearance.
· Current U.S. Citizen/Green Card-holder
Stand-out Skills
Deep learning with TensorFlow, Torch, or similar
Spark, Hadoop, or similar
SQL, Java or C/C++.
*******Please Apply using this link: https://app.smartsheet.com/b/form/2cb8018ed6a041b0870e3cd056c286ab",4.4,"Guzman & Griffin Technologies (GGTI)
4.4","Washington, DC","Mays Landing, NJ",1 to 50 employees,1997,Company - Private,Federal Agencies,Government,Unknown / Non-Applicable,-1
